date,close,trend,choch,fib_confluence,fib_strength,hammer,inv_hammer,bull_engulf,morning_star,bull_harami,three_white,bull_breakout,bear_engulf,shooting_star,evening_star,bear_harami,three_black,bear_breakdown,atr,rsi,volume_ratio,actual,predicted,probability
2016-12-13,103.76,-1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.706589912201479,43.13408054246045,1.1594218330547088,0,1,0.76600504
2013-12-18,55.72,0,0,1,0.6666666666666666,1,0,1,0,0,0,0,0,0,0,0,0,0,0.9511028054771812,56.66354390877219,0.5888877822639254,0,1,0.7659999
2016-04-20,60.9,1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.0087019376685415,57.82963053858739,0.80073889405619,0,1,0.76599324
2016-07-06,37.42,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.3518162476535902,43.970537292683524,1.554640397609633,0,1,0.7659845
2016-03-29,50.69,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0554185659565911,49.25439912391653,0.8549656540147865,0,1,0.7659833
2016-01-04,70.88,-1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.567646036110729,34.712539291286234,1.5473533942778788,0,1,0.76598144
2016-03-15,47.06,0,0,0,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0371337751221192,48.15129596513337,0.906982490775754,0,1,0.7659806
2014-04-25,35.41,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7412797232961257,43.08029210742993,0.8303600360241143,0,1,0.7659703
2013-11-26,49.57,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9946750524647862,38.71471179122857,1.6369904061967204,0,1,0.76596904
2014-06-30,95.76,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.8955567122907342,61.23084312767548,1.3652674203421458,0,1,0.76596785
2017-02-03,52.61,1,0,0,0.3333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,1.2819166003402653,58.1343888092092,0.5534664436642431,0,1,0.76596576
2017-05-12,30.32,-1,0,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6398076568910113,51.441756175114286,0.9034447762209433,0,1,0.76596403
2015-03-25,129.22,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.461474387520198,38.629243875484256,0.5592550070434,0,1,0.7659549
2016-07-07,8.25,-1,0,0,0.3333333333333333,0,1,0,0,0,0,0,0,1,0,0,0,0,0.31452771151721853,39.129213678029224,0.9929867168092681,0,1,0.76595175
2018-01-19,165.79,-1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.551870280746772,58.49303135989945,1.8300490963044111,0,1,0.7659503
2014-07-10,102.45,1,0,1,0.6666666666666666,0,0,0,0,0,1,0,0,0,0,0,0,0,1.2715419929156713,52.56276178375384,0.6024122121137737,0,1,0.7659477
2014-10-15,62.8,-1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0638551413656692,35.36899339109789,1.8941813190961063,0,1,0.765942
2016-08-19,153.92,-1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.272071919351895,44.9329949586816,0.9686490251130607,0,1,0.76594037
2016-03-04,168.97,-1,0,0,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,5.257143059252791,55.31790975663351,0.4084978079596806,0,1,0.7659363
2017-05-11,75.58,-1,0,0,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.921766298170264,40.85521918322837,0.9090205556514648,0,1,0.7659353
2014-12-12,128.0,1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.7781297577270136,49.48210548373525,1.31968069165312,0,1,0.7659308
2015-09-02,52.83,-1,0,0,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1.6866281186650316,33.165857389911935,0.7395136719496873,0,1,0.76593024
2015-02-02,53.26,-1,0,0,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,1.4024931794822961,46.315507259752394,0.9175402436074563,0,1,0.7659209
2016-04-06,108.23,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.7717947075997051,65.11473850415067,1.3836940679093161,0,1,0.76591456
2017-04-18,27.42,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.8894512278310923,40.41335865315976,0.8700522752893219,0,1,0.76590794
2014-07-30,38.78,0,0,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4744338277618831,47.254185673440006,0.6486362226818551,0,1,0.76590496
2016-06-07,177.93,-1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.7063774569218313,58.425205153458364,1.0607525372987479,0,1,0.7659044
2015-03-09,114.9,1,0,0,0.3333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,1.9879722045958854,60.91392977867945,1.0516087332937547,0,1,0.7659004
2016-06-30,62.27,-1,0,0,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,1.540938651099854,47.19945251120632,0.9239282854298062,0,1,0.76589876
2017-08-25,71.67,-1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.3985582867989848,55.15915457725412,0.6042956686230391,0,1,0.76589715
2017-09-06,228.0,-1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.344854935578757,44.070906854533774,0.8150618531566816,0,1,0.7658966
2017-08-18,56.13,-1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.9735946167966603,43.48136113169585,0.7761771499754923,0,1,0.7658838
2016-12-12,270.76,1,0,1,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,4.757329924637601,56.50049520713052,0.9564894220166694,0,1,0.7658786
2013-08-28,69.83,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.8086341310414369,42.91056320380563,3.381630689308022,0,1,0.7658716
2015-05-07,78.17,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.1946703586292513,58.9621127545356,0.8246420288905872,0,1,0.7658706
2014-02-07,50.0534,-1,0,0,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0.856606282362782,47.42752416049843,1.0491462295567655,0,1,0.7658693
2013-11-08,25.35,0,0,0,0.3333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6357002109009828,51.84841724315862,0.6307884866935908,0,1,0.76586515
2017-07-03,158.83,-1,0,0,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,2.4637676209038335,50.57335718669447,0.6173636724699807,0,1,0.76585805
2015-04-17,42.44,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.64403062985568,35.45596677978726,1.4624381463614418,0,1,0.76585287
2017-05-04,45.89,0,1,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0717262721868845,65.59341416588863,0.9795209939005725,0,1,0.7658527
2016-11-18,146.04,-1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.9845311010607,61.37197509564338,0.8146426470609742,0,1,0.76585066
2017-04-04,50.02,1,0,1,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6075984423901492,50.53111092667084,0.7191382302333194,0,1,0.7658496
2014-07-24,81.63,-1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.3077119953633576,45.767370461726024,1.6327459247545246,0,1,0.76583177
