run,pattern,signal,score,ml_prob,pnl,reason
0,Double Bottom,BUY,0.6799999999999999,0.5,-0.30515223260778157,SL
0,Double Top,SELL,0.6799999999999999,0.5,-0.3025027398740576,SL
0,Double Bottom,BUY,0.6799999999999999,0.5,-0.30484466516971054,SL
0,Double Bottom,BUY,0.6799999999999999,0.5,-0.3041666290850742,SL
0,Evening Star,SELL,0.64,0.5,0.05067246687652016,SL
0,3 White Soldiers,BUY,0.6200000000000001,0.5,-0.3057957272487215,SL
0,3 White Soldiers,BUY,0.6200000000000001,0.5,0.05111999452245186,SL
0,Hammer,BUY,0.56,0.5,0.615383681892709,TP
0,Bearish Engulfing,SELL,0.58,0.5,-0.30889432039143117,SL
0,Bearish Engulfing,SELL,0.58,0.5,-0.31122035040137064,SL
0,3 White Soldiers,BUY,0.47192070752382287,0.2532011792063713,-0.31219823945235703,SL
0,Double Bottom,BUY,0.4713576684892178,0.15226278081536293,-0.31136358848753787,SL
0,Double Bottom,BUY,0.4861660170555115,0.1769433617591858,0.05183901657461831,SL
0,Double Bottom,BUY,0.5461616414785385,0.2769360691308975,0.6230491370788087,TP
0,Double Bottom,BUY,0.5352977964282035,0.25882966071367264,-0.31325184704701314,SL
0,Double Bottom,BUY,0.6046560737490654,0.37442678958177567,0.05221662023451756,SL
0,Double Bottom,BUY,0.5252058643102646,0.24200977385044098,0.052338472519792845,SL
0,Double Bottom,BUY,0.5416074651479721,0.2693457752466202,0.052511463731832464,SL
0,Double Bottom,BUY,0.4596478681266308,0.13274644687771797,0.052534314847818564,SL
0,Double Bottom,BUY,0.44732303053140643,0.11220505088567734,0.6370752436329212,TP
0,Double Bottom,BUY,0.5278708669543266,0.24645144492387772,-0.32105200000968637,SL
0,Double Bottom,BUY,0.5106356757879257,0.21772612631320953,-0.3216078069294781,SL
0,Inverted Hammer,BUY,0.42086500644683844,0.16810834407806396,0.6420218796048829,TP
0,Double Bottom,BUY,0.5553139823675155,0.29218997061252594,-0.3246091654802541,SL
0,Double Bottom,BUY,0.44126522794365886,0.10210871323943138,0.6451579823542062,TP
0,Double Bottom,BUY,0.6448841798305511,0.4414736330509186,-0.3249073697642899,SL
0,Double Bottom,BUY,0.6226193237304687,0.40436553955078125,0.6472967014825173,TP
0,Double Bottom,BUY,0.4791048000752926,0.1651746667921543,0.054343711936510886,SL
0,Double Bottom,BUY,0.613986097574234,0.38997682929039,-0.3285406192689919,SL
0,Double Bottom,BUY,0.5918925139307976,0.35315418988466263,0.6559424768712745,TP
0,Double Bottom,BUY,0.5794974762201309,0.3324957937002182,0.6628486620553247,TP
0,Bearish Engulfing,SELL,0.38804271611571317,0.13340452685952187,-0.33204114931577067,SL
0,3 White Soldiers,BUY,0.4524902801513672,0.1741504669189453,-0.33089611870914837,SL
0,Bullish Engulfing,BUY,0.47757269859313967,0.2626211643218994,-0.3313023837071256,SL
0,Double Top,SELL,0.57893808811903,0.33156348019838333,-0.33042755505297805,SL
0,3 White Soldiers,BUY,0.42337208747863775,0.10562014579772949,-0.3311221283400698,SL
0,Double Top,SELL,0.6436634260416031,0.4394390434026718,0.6604016118535583,TP
1,3 Black Crows,SELL,0.6799999999999999,0.5,-0.29234208790111893,SL
1,3 Black Crows,SELL,0.66,0.5,-0.29017216992573935,SL
1,Inverted Hammer,BUY,0.5680000000000001,0.5,-0.29122443801001907,SL
1,Double Top,SELL,0.6799999999999999,0.5,-0.2905450836074124,SL
1,Double Bottom,BUY,0.6799999999999999,0.5,-0.2905634403236945,SL
1,Double Bottom,BUY,0.6799999999999999,0.5,-0.2894799781513058,SL
1,Double Bottom,BUY,0.6799999999999999,0.5,-0.28842180921095917,SL
1,Double Bottom,BUY,0.6799999999999999,0.5,-0.2867668975134592,SL
1,3 Black Crows,SELL,0.6200000000000001,0.5,0.04748452587450913,SL
1,Inverted Hammer,BUY,0.54,0.5,-0.2854051615911999,SL
1,3 Black Crows,SELL,0.6200000000000001,0.5,-0.28377288786094823,SL
1,Hammer,BUY,0.56,0.5,-0.2840573961367596,SL
1,Double Top,SELL,0.6799999999999999,0.5,0.04715266938674745,SL
1,3 Black Crows,SELL,0.6200000000000001,0.5,0.5616480515907369,TP
1,Hammer,BUY,0.6000000000000001,0.5,-0.27924699389987495,SL
1,Double Top,SELL,0.6799999999999999,0.5,-0.276891328978607,SL
1,Double Top,SELL,0.6799999999999999,0.5,-0.276095665197019,SL
